Case #1: 15 60 75
Case #2: 9 9 12 15
Case #3: 7857 13968 15876 28224
Case #4: 4077 7248 11340 20160
Case #5: 738 1449 2508 2520
Case #6: 1053 1296 1860 2700
Case #7: 102 504 2082 2718
Case #8: 171037803 419341884 539483805 586588941
Case #9: 3834 17253 23004 30672
Case #10: 105 1305 2232 2253
Case #11: 4401 7425 7824 13200
Case #12: 89974362 92783634 421532115 608656935
Case #13: 510 540 2106 2124
Case #14: 16497 22788 30384 40512
Case #15: 4032990 246003117 472620366 570910203
Case #16: 15282 20358 27144 36192
Case #17: 258 525 663 2100
Case #18: 3159 4212 5616 14121
Case #19: 7047 9396 12528 14931
Case #20: 831 1986 2787 2946
Case #21: 582 996 1941 2370
Case #22: 26281092 33491685 478544319 741904473
Case #23: 393 2070 2430 2850
Case #24: 498 624 1260 1977
Case #25: 111 1443 1521 1542
Case #26: 55454100 175971264 576631488 613131819
Case #27: 108 1149 1611 1983
Case #28: 102725829 281844474 387650331 725564178
Case #29: 3
Case #30: 741 1002 2658 2841
Case #31: 162 222 891 2313
Case #32: 396 1206 1326 1467
Case #33: 537 1305 1566 2112
Case #34: 150320256 416590251 463814967 682181529
Case #35: 516 1830 2385 2847
Case #36: 21870 26676 35568 47424
Case #37: 744 1794 1854 2130
Case #38: 795 1425 2214 2856
Case #39: 183895023 468612216 543418008 555963810
Case #40: 239693793 461947443 557333238 647716725
Case #41: 39 693 1731 2778
Case #42: 309889140 367549563 371853504 549840645
Case #43: 132 1776 1827 1872
Case #44: 64696791 203917527 227101995 597821436
Case #45: 21 267 2124 2325
Case #46: 10449 13932 18576 18630
Case #47: 174 1569 2178 2931
Case #48: 732 1785 2178 2250
Case #49: 24703701 196349010 513322014 567113850
Case #50: 1479 1542 2142 2409
Case #51: 14499 19251 19332 25776
Case #52: 381 1989 2247 2427
Case #53: 306 1266 1284 2553
Case #54: 2181 2232 2400 2529
Case #55: 171 813 1584 2982
Case #56: 1470 1770 2043 2166
Case #57: 12 42 2481 2871
Case #58: 222646077 299730291 358532658 394078857
Case #59: 117734868 218380821 351949224 483215214
Case #60: 14769 18576 26256 33024
Case #61: 219 2172 2526 2547
Case #62: 9 315 945 1641
Case #63: 555 1737 1743 2637
Case #64: 492 1143 1302 1893
Case #65: 277235472 294863331 437568750 472044096
Case #66: 2916 3753 5184 6672
Case #67: 276 381 1506 1770
Case #68: 375 378 543 2646
Case #69: 399 651 1320 2835
Case #70: 243 549 2529 2574
Case #71: 735 1140 1734 2733
Case #72: 4590 14769 19692 26256
Case #73: 918 1224 1860 2802
Case #74: 264 573 915 2127
Case #75: 355155885 518850333 551502150 681458610
Case #76: 75 1431 2367 2907
Case #77: 294253197 528133869 553865655 689882913
Case #78: 3 153 219 822
Case #79: 120 417 480 1701
Case #80: 585 1842 2157 2601
Case #81: 23328 24435 41472 43440
Case #82: 84 1842 2223 2943
Case #83: 9234 16416 19359 34416
Case #84: 3780 6720 16578 29472
Case #85: 23348466 398122800 619539768 703002276
Case #86: 471 639 1002 2160
Case #87: 405 663 2226 2754
Case #88: 8154 14496 25785 45840
Case #89: 249 1122 2160 2952
Case #90: 1269 2256 14715 26160
Case #91: 28368720 38702715 146208843 521572077
Case #92: 495 894 2253 2268
Case #93: 657 660 2334 2622
Case #94: 165663957 209075910 424341858 497537145
Case #95: 207 360 675 927
Case #96: 18360 24057 24480 32640
Case #97: 324 1110 1191 2667
Case #98: 3 750000000
Case #99: 750000000
Case #100: 555 828 918 2535
